year,total_sunshine_duration
Jan-10,92.7
Feb-10,69.5
Mar-10,134.9
Apr-10,81.3
May-10,111.8
Jun-10,128.1
Jul-10,146.2
Aug-10,183.5
Sep-10,207.2
Oct-10,119.7
Nov-10,105.1
Dec-10,122.7
Jan-11,59.7
Feb-11,104.4
Mar-11,88
Apr-11,182.4
May-11,75.7
Jun-11,189.5
Jul-11,234.9
Aug-11,199.2
Sep-11,205.2
Oct-11,114.7
Nov-11,78.8
Dec-11,69.8
Jan-12,54.4
Feb-12,57.3
Mar-12,124.8
Apr-12,99.6
May-12,141.6
Jun-12,124.7
Jul-12,239.5
Aug-12,164.1
Sep-12,159.1
Oct-12,163.2
Nov-12,115.7
Dec-12,94.9
Jan-13,94.6
Feb-13,111.7
Mar-13,143.5
Apr-13,93.4
May-13,94.1
Jun-13,216
Jul-13,268.4
Aug-13,241.7
Sep-13,206.5
Oct-13,129.7
Nov-13,120
Dec-13,89.4
Jan-14,145.4
Feb-14,82.9
Mar-14,110.1
Apr-14,149.1
May-14,112.5
Jun-14,134.5
Jul-14,235.5
Aug-14,175.7
Sep-14,224
Oct-14,171.2
Nov-14,134.7
Dec-14,84.6
Jan-15,90.7
Feb-15,114.1
Mar-15,126.5
Apr-15,118.9
May-15,144.2
Jun-15,221.7
Jul-15,202.3
Aug-15,170.2
Sep-15,208.5
Oct-15,174.6
Nov-15,139.7
Dec-15,102.4
Jan-16,75.8
Feb-16,83.1
Mar-16,106.6
Apr-16,125.5
May-16,143.2
Jun-16,185.7
Jul-16,253
Aug-16,226.4
Sep-16,141.8
Oct-16,175.6
Nov-16,128.4
Dec-16,112.1
Jan-17,77
Feb-17,79.9
Mar-17,102.4
Apr-17,128.6
May-17,112.1
Jun-17,107.7
Jul-17,267.2
Aug-17,242.1
Sep-17,186.1
Oct-17,155.8
Nov-17,85.6
Dec-17,101.5
Jan-18,74.9
Feb-18,97.9
Mar-18,181.6
Apr-18,161.3
May-18,238.4
Jun-18,171.7
Jul-18,179.7
Aug-18,203.4
Sep-18,174.6
Oct-18,151.8
Nov-18,155.9
Dec-18,85.3
Jan-19,97.4
Feb-19,78.4
Mar-19,129.8
Apr-19,119.2
May-19,150.7
Jun-19,90.7
Jul-19,196.2
Aug-19,191.3
Sep-19,154.2
Oct-19,198.8
Nov-19,135.7
Dec-19,123.2
